Phone,Price,Mobile Link,Rating
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-ash-black-128-gb/p/itm81af925bc1e26?pid=MOBGYBAVFGJGMQGY&lid=LSTMOBGYBAVFGJGMQGYZF1Q0M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=en_z_DEq3qZ3Lm33BFoBch1G2x-Yuz8aXMWRsNWjznCJUWr8PUocKYsf6_bkQ_B81JKQp-asJH5MfYQ-5BYgyKFk33Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹8,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGUFK4RNVPCG3M.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGUFK4X5AEBBDE.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-glacier-blue-128-gb/p/itm766650509967e?pid=MOBGUFK4FEVX2D5T&lid=LSTMOBGUFK4FEVX2D5TYKGLO6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGUFK4FEVX2D5T.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"MOTOROLA G04 (Sea Green, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sea-green-64-gb/p/itma5e47013b85f7?pid=MOBGUFK4HDHHKJPP&lid=LSTMOBGUFK4HDHHKJPPCWIVJB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGUFK4HDHHKJPP.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,499",https://www.flipkart.com/samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm3202236886884?pid=MOBGYBAVKWJWSNNQ&lid=LSTMOBGYBAVKWJWSNNQQBJZHM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=en_z_DEq3qZ3Lm33BFoBch1G2x-Yuz8aXMWRsNWjznCJUWaoe5SXvIo0RSH8cvw0PoAB1gctVj8zXD1ISPv_29gWq8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"Motorola G34 5G (Ice Blue, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itm0f6b45af1c0f0?pid=MOBGUFK4ZX2ZHMTQ&lid=LSTMOBGUFK4ZX2ZHMTQPDILZF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGUFK4ZX2ZHMTQ.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"SAMSUNG Galaxy F54 5G (Stardust Silver, 256 GB)","₹22,999",https://www.flipkart.com/samsung-galaxy-f54-5g-stardust-silver-256-gb/p/itme2f1ad33150df?pid=MOBGPN55PEBUKZX2&lid=LSTMOBGPN55PEBUKZX25RULZW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=en_z_DEq3qZ3Lm33BFoBch1G2x-Yuz8aXMWRsNWjznCJUXhr4azbrZrX-CP4uy2mDyBRxiN0zJiustx6AjJNKC62MsrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
